ประเภทสัตว์,size,น้ำหนัก (กก.),อายุ (ปี),อายุ (เดือน),ชื่อของผลิตภัณฑ์,ชนิดของอาหาร,ประเภทอาหาร,ปริมาณอาหาร (กก.),งบประมาณ (บาท),ปริมาณที่กิน (g)/วัน,ปริมาณที่กิน (g)/ครั้ง,ความถี่,สัดส่วนของสารอาหารต่อ 100 กรัม (Protein),สัดส่วนของสารอาหารต่อ 100 กรัม (Fat),สัดส่วนของสารอาหารต่อ 100 กรัม (Fiber),สัดส่วนของสารอาหารต่อ 100 กรัม (Calcium),สัดส่วนของสารอาหารต่อ 100 กรัม (Ash),สัดส่วนของสารอาหารต่อ 100 กรัม (Phosphorus),สัดส่วนของสารอาหารต่อ 100 กรัม (Omega-6 fatty acids),สัดส่วนของสารอาหารต่อ 100 กรัม (Moisture)
หมา,เล็ก,5,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,89,29.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,6,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,95,31.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,7,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,101,33.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,8,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,107,35.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,9,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,113,37.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,10,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,119,39.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,1,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,60,20,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,3,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,72,24,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,5,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,84,28,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,6,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,92,30.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,7,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,101,33.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,8,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,108,36,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,9,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,116,38.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,10,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,119,39.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,1,0,5,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,60,20,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,3,0,5,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,67,22.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,5,0,5,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,74,24.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,6,0,5,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,89,29.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,7,0,5,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,102,34,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,8,0,5,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,116,38.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,9,0,5,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,130,43.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,10,0,5,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,144,48,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,1,0,6,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,60,20,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,3,0,6,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,67,22.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,5,0,6,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,74,24.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,6,0,6,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,89,29.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,7,0,6,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,104,34.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,8,0,6,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,119,39.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,9,0,6,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,134,44.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,10,0,6,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,149,49.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,1,0,9,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,60,20,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,3,0,9,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,67,22.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,5,0,9,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,74,24.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,6,0,9,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,89,29.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,7,0,9,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,104,34.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,8,0,9,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,119,39.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,9,0,9,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,134,44.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,10,0,9,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,2.5,750,149,49.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,1,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",50,16.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,3,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",55,18.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,5,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",60,20,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,6,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",64,21.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,7,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",67,22.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,8,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",71,23.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,9,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",75,25,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,10,0,2,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",79,26.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,1,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",55,18.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,3,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",72,24,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,5,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",89,29.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,6,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",95,31.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,7,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",101,33.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,8,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",107,35.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,9,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",113,37.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,10,0,3,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",119,39.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,1,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",60,20,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,3,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",72,24,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,5,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",84,28,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,6,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",92,30.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,7,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",101,33.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,8,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",108,36,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,9,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",116,38.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,10,0,4,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",119,39.7,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,1,0,5,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",60,20,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
หมา,เล็ก,3,0,5,โปรแพลนสุนัข สูตรลูกสุนัข​ พันธุ์เล็กและพันธุ์ตุ๊กตา​,เม็ด,พัฒนาระบบภูมิคุ้มกัน,12,"3,200.00",67,22.3,3,28% - 32%,12% - 18%,2% - 3%,1.0% - 1.5%,7% - 8%,0.8% - 1.2%,1.5% - 2.5%,10%
